ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Northeast - 1990,4975282,Children severely stunted,33.8,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA3,104236010,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCHA3,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,4057768,Children severely stunted,33.6,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA3,104236010,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCHA3,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,5009906,Children severely stunted,20.5,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA3,104236010,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCHA3,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,4155201,Children severely stunted,18.9,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA3,104236010,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCHA3,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,4975281,Children stunted,56.7,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA2,104236020,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCHA2,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,4057767,Children stunted,55.1,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA2,104236020,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCHA2,NGDHS1990433002,1990,DHS,1349,1184,,,1
NGA,Southeast - 1990,5009905,Children stunted,43.1,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA2,104236020,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CNNUTSCHA2,NGDHS1990433003,1990,DHS,1893,1570,,,1
NGA,Southwest - 1990,4155202,Children stunted,41.9,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HA2,104236020,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CNNUTSCHA2,NGDHS1990433004,1990,DHS,1131,1546,,,1
NGA,Northeast - 1990,4975280,Mean height for age of children,-2.2,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HAM,104236030,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CNNUTSCHAM,NGDHS1990433001,1990,DHS,1211,1196,,,1
NGA,Northwest - 1990,4057766,Mean height for age of children,-2.1,1,NG,Nigeria,1990,NG1990DHS,CN_NUTS_C_HAM,104236030,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CNNUTSCHAM,NGDHS1990433002,1990,DHS,1349,1184,,,1
