Location,stunting_rate,immunization_rate,birth_facility_rate,education_rate
Abia,19.900000000000002,42.266666666666666,83.2625,85.76
Adamawa,40.86666666666667,38.53333333333333,39.825,43.58
Akwa Ibom,22.03333333333333,46.93333333333334,38.237500000000004,75.4
Anambra,15.1,58.699999999999996,87.4,85.76
Bauchi,55.73333333333333,25.7,23.25,18.34
Bayelsa,24.333333333333332,44.300000000000004,30.5625,74.86
Benue,22.900000000000002,24.266666666666666,59.4375,54.65999999999999
Borno,37.6,20.03333333333333,29.0125,28.1
Cross River,21.866666666666664,55.699999999999996,50.0125,76.32000000000001
Delta,19.53333333333333,54.4,64.2625,78.4
Ebonyi,24.333333333333332,51.26666666666667,63.9125,61.379999999999995
Edo,15.133333333333333,55.63333333333333,80.1125,78.84
Ekiti,19.46666666666667,49.03333333333333,79.5875,85.9
Enugu,13.9,44.4,85.4125,75.36
Federal Capital Territory,19.366666666666667,52.03333333333333,69.6625,72.2
Gombe,49.76666666666667,29.933333333333334,34.4625,31.6
Imo,17.266666666666666,61.36666666666667,93.1,90.94
Jigawa,59.56666666666666,28.100000000000005,16.7125,16.520000000000003
Kaduna,48.46666666666667,30.933333333333334,25.65,47.3
Kano,52.36666666666667,27.766666666666666,20.375,32.54
Katsina,61.199999999999996,25.066666666666663,13.8125,21.18
Kebbi,62.23333333333333,6.266666666666666,8.525,12.56
Kogi,25.900000000000002,26.2,72.28750000000001,59.82000000000001
Kwara,33.6,33.43333333333333,62.925,54.1
Lagos,17.166666666666668,60.79999999999999,77.925,86.17999999999999
Nasarawa,33.63333333333333,33.833333333333336,49.7125,48.6
Niger,35.43333333333333,24.866666666666664,28.2875,23.84
Ogun,22.7,32.96666666666667,77.25,67.02000000000001
Ondo,22.53333333333333,49.53333333333333,71.875,71.66
Osun,24.900000000000002,48.133333333333326,88.95,80.84
Oyo,28.266666666666666,26.733333333333334,73.325,70.78
Plateau,42.300000000000004,32.233333333333334,42.2875,47.28
Rivers,15.066666666666668,50.13333333333333,51.35,84.22
Sokoto,49.73333333333333,4.8,8.3875,10.08
Taraba,43.63333333333333,21.5,28.9375,33.62
Yobe,53.666666666666664,21.633333333333336,17.475,22.240000000000002
Zamfara,56.96666666666667,6.366666666666667,10.2375,14.48
