ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Northeast - 1990,1925759,Total fertility rate 15-49,6.5,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_TFR,11763080,I,433001,1433001,Region,Northeast - 1990,0,,0,1,FEFRTRWTFR,NGDHS1990433001,1990,DHS,,,,,1
NGA,Northwest - 1990,1917344,Total fertility rate 15-49,6.6,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_TFR,11763080,I,433002,1433002,Region,Northwest - 1990,0,,0,1,FEFRTRWTFR,NGDHS1990433002,1990,DHS,,,,,1
NGA,Southeast - 1990,1933966,Total fertility rate 15-49,5.6,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_TFR,11763080,I,433003,1433003,Region,Southeast - 1990,0,,0,1,FEFRTRWTFR,NGDHS1990433003,1990,DHS,,,,,1
NGA,Southwest - 1990,1933981,Total fertility rate 15-49,5.5,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_TFR,11763080,I,433004,1433004,Region,Southwest - 1990,0,,0,1,FEFRTRWTFR,NGDHS1990433004,1990,DHS,,,,,1
NGA,Northeast - 1990,4515010,Married women currently using any method of contraception,2,1,NG,Nigeria,1990,NG1990DHS,FP_CUSM_W_ANY,32633010,I,433001,1433001,Region,Northeast - 1990,0,,0,1,FPCUSMWANY,NGDHS1990433001,1990,DHS,1849,1877,,,1
NGA,Northwest - 1990,6624724,Married women currently using any method of contraception,1.2,1,NG,Nigeria,1990,NG1990DHS,FP_CUSM_W_ANY,32633010,I,433002,1433002,Region,Northwest - 1990,0,,0,1,FPCUSMWANY,NGDHS1990433002,1990,DHS,1944,1561,,,1
NGA,Southeast - 1990,1583849,Married women currently using any method of contraception,8.8,1,NG,Nigeria,1990,NG1990DHS,FP_CUSM_W_ANY,32633010,I,433003,1433003,Region,Southeast - 1990,0,,0,1,FPCUSMWANY,NGDHS1990433003,1990,DHS,1801,1506,,,1
NGA,Southwest - 1990,5362107,Married women currently using any method of contraception,15,1,NG,Nigeria,1990,NG1990DHS,FP_CUSM_W_ANY,32633010,I,433004,1433004,Region,Southwest - 1990,0,,0,1,FPCUSMWANY,NGDHS1990433004,1990,DHS,1287,1752,,,1
NGA,Northeast - 1990,4514959,Married women currently using any modern method of contraception,1.3,1,NG,Nigeria,1990,NG1990DHS,FP_CUSM_W_MOD,32633020,I,433001,1433001,Region,Northeast - 1990,0,,0,1,FPCUSMWMOD,NGDHS1990433001,1990,DHS,1849,1877,,,1
NGA,Northwest - 1990,6624725,Married women currently using any modern method of contraception,0.7,1,NG,Nigeria,1990,NG1990DHS,FP_CUSM_W_MOD,32633020,I,433002,1433002,Region,Northwest - 1990,0,,0,1,FPCUSMWMOD,NGDHS1990433002,1990,DHS,1944,1561,,,1
